# Engine name: Sugar Rocket
# Tue Mar 14 00:46:59 2023
#
#************************************************************************************************************************************************************************************
# Results of nested analysis
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
# Ratio, O/F     pc, MPa  Nozzle inl  Nozzle exi  rho, kg/m^       Tc, K           M       gamma           k     c*, m/s   Is opt, s   Is vac, s      Cf opt      Cf vac    c.factor 
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
     1.9140      0.3611      0.0000      4.0000      0.0000   1512.5493     39.4709      1.1522      1.1130    854.4441    111.9386    131.1647      1.4237      1.6345      0.8796 
     1.9140      0.3629      0.0000      4.0000      0.0000   1512.7920     39.4739      1.1522      1.1131    854.5165    111.9513    131.1767      1.4237      1.6345      0.8797 
     1.9140      0.3647      0.0000      4.0000      0.0000   1513.0333     39.4769      1.1521      1.1131    854.5886    111.9640    131.1886      1.4237      1.6344      0.8797 
     1.9140      0.3665      0.0000      4.0000      0.0000   1513.2732     39.4799      1.1520      1.1131    854.6603    111.9765    131.2005      1.4237      1.6344      0.8798 
     1.9140      0.3683      0.0000      4.0000      0.0000   1513.5118     39.4828      1.1520      1.1131    854.7316    111.9890    131.2122      1.4237      1.6344      0.8799 
     1.9140      0.3701      0.0000      4.0000      0.0000   1513.7489     39.4857      1.1519      1.1132    854.8025    112.0014    131.2239      1.4237      1.6344      0.8799 
     1.9140      0.3719      0.0000      4.0000      0.0000   1513.9848     39.4887      1.1519      1.1132    854.8730    112.0138    131.2355      1.4237      1.6344      0.8800 
     1.9140      0.3737      0.0000      4.0000      0.0000   1514.2192     39.4916      1.1518      1.1132    854.9431    112.0260    131.2471      1.4237      1.6344      0.8800 
     1.9140      0.3755      0.0000      4.0000      0.0000   1514.4524     39.4944      1.1517      1.1132    855.0128    112.0382    131.2586      1.4237      1.6344      0.8801 
     1.9140      0.3773      0.0000      4.0000      0.0000   1514.6843     39.4973      1.1517      1.1133    855.0822    112.0503    131.2700      1.4237      1.6343      0.8801 
     1.9140      0.3791      0.0000      4.0000      0.0000   1514.9148     39.5001      1.1516      1.1133    855.1512    112.0624    131.2813      1.4237      1.6343      0.8802 
     1.9140      0.3809      0.0000      4.0000      0.0000   1515.1441     39.5030      1.1516      1.1133    855.2198    112.0743    131.2926      1.4237      1.6343      0.8803 
     1.9140      0.3827      0.0000      4.0000      0.0000   1515.3721     39.5058      1.1515      1.1133    855.2881    112.0862    131.3038      1.4237      1.6343      0.8803 
     1.9140      0.3845      0.0000      4.0000      0.0000   1515.5988     39.5086      1.1514      1.1134    855.3560    112.0980    131.3150      1.4237      1.6343      0.8804 
     1.9140      0.3863      0.0000      4.0000      0.0000   1515.8243     39.5114      1.1514      1.1134    855.4236    112.1098    131.3260      1.4237      1.6343      0.8804 
